"Titre de tracé : p41_p"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 20072572, SEN S/N: 20072572, LBL: Pression)","Temp., °C (LGR S/N: 20072572, SEN S/N: 20072572, LBL: Temperature)","Hôte connecté (LGR S/N: 20072572)","Arrêté (LGR S/N: 20072572)","Fin de fichier (LGR S/N: 20072572)"
464,05/23/17 07:45:00,1.19364,13.792,,,
465,05/23/17 08:00:00,1.19688,13.783,,,
466,05/23/17 08:15:00,1.19722,13.787,,,
467,05/23/17 08:30:00,1.20333,13.804,,,
468,05/23/17 08:45:00,1.20306,13.816,,,
469,05/23/17 09:00:00,1.20466,13.823,,,
470,05/23/17 09:15:00,1.20642,13.838,,,
471,05/23/17 09:30:00,1.20901,13.862,,,
472,05/23/17 09:45:00,1.21450,13.880,,,
473,05/23/17 10:00:00,1.21817,13.903,,,
474,05/23/17 10:15:00,1.22126,13.916,,,
475,05/23/17 10:30:00,1.22377,13.924,,,
476,05/23/17 10:45:00,1.23079,13.964,,,
477,05/23/17 11:00:00,1.23537,13.996,,,
478,05/23/17 11:15:00,1.23884,14.027,,,
479,05/23/17 11:30:00,1.24571,14.065,,,
480,05/23/17 11:45:00,1.24849,14.096,,,
481,05/23/17 12:00:00,1.25399,14.135,,,
482,05/23/17 12:15:00,1.26265,14.188,,,
483,05/23/17 12:30:00,1.26398,14.273,,,
484,05/23/17 12:45:00,1.27401,14.361,,,
485,05/23/17 13:00:00,1.28038,14.433,,,
486,05/23/17 13:15:00,1.28828,14.521,,,
487,05/23/17 13:30:00,1.29385,14.577,,,
488,05/23/17 13:45:00,1.29614,14.619,,,
489,05/23/17 14:00:00,1.30148,14.679,,,
490,05/23/17 14:15:00,1.31201,14.758,,,
491,05/23/17 14:30:00,1.31994,14.851,,,
492,05/23/17 14:45:00,1.32856,14.955,,,
493,05/23/17 15:00:00,1.33501,15.022,,,
494,05/23/17 15:15:00,1.34287,15.109,,,
495,05/23/17 15:30:00,1.35058,15.194,,,
496,05/23/17 15:45:00,1.35664,15.290,,,
497,05/23/17 16:00:00,1.36351,15.385,,,
498,05/23/17 16:15:00,1.37221,15.473,,,
